id,name,host_id,host_name,host_is_superhost,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_per_night_bucket,is_superhost,days_since_last_review,availability_status
1000027,Entire home/apt in Greenpoint,500027,Host27,f,Brooklyn,Greenpoint,40.68514,-73.957858,Entire home/apt,137.08,7,0,,0.0,2,172,$75-150,False,,Sometimes Available
1000028,Entire home/apt in Greenpoint,500028,Host28,t,Brooklyn,Greenpoint,40.698874,-73.93942,Entire home/apt,223.99,2,21,2026-06-28,0.7,1,141,$150-250,True,68.0,Sometimes Available
1000029,Entire home/apt in Bedford-Stuyvesant,500029,Host29,f,Brooklyn,Bedford-Stuyvesant,40.672579,-73.956262,Entire home/apt,267.4,14,17,2026-06-03,0.42,1,239,$250-400,False,93.0,Highly Available
1000030,Entire home/apt in Tottenville,500030,Host30,f,Staten Island,Tottenville,40.58549,-74.117494,Entire home/apt,69.88,3,20,2026-07-18,1.34,5,148,$0-75,False,48.0,Sometimes Available
1000031,Private room in Jamaica,500031,Host31,t,Queens,Jamaica,40.73691,-73.823235,Private room,73.96,2,6,2026-05-07,0.26,3,159,$0-75,True,120.0,Sometimes Available
1000032,Private room in Riverdale,500032,Host32,t,Bronx,Riverdale,40.83663,-73.891773,Private room,37.73,5,20,2026-05-12,0.84,3,299,$0-75,True,115.0,Highly Available
1000033,Private room in East Village,500033,Host33,f,Manhattan,East Village,40.738065,-73.959018,Private room,186.14,1,12,2026-05-25,0.46,1,230,$150-250,False,102.0,Highly Available
1000034,Hotel room in Financial District,500034,Host34,f,Manhattan,Financial District,40.773781,-73.951474,Hotel room,339.41,2,24,2026-04-18,0.68,1,64,$250-400,False,139.0,Sometimes Available
1000035,Entire home/apt in Bushwick,500035,Host35,f,Brooklyn,Bushwick,40.689427,-73.92459,Entire home/apt,44.75,1,91,2026-06-18,1.92,1,92,$0-75,False,78.0,Sometimes Available
1000036,Entire home/apt in Midtown,500036,Host36,t,Manhattan,Midtown,40.77384,-73.940458,Entire home/apt,245.71,14,2,2026-05-30,0.05,1,221,$150-250,True,97.0,Highly Available
1000037,Private room in St. George,500037,Host37,t,Staten Island,St. George,40.579105,-74.15006,Private room,72.47,7,15,2025-12-04,0.64,1,140,$0-75,True,274.0,Sometimes Available
1000038,Private room in Ridgewood,500038,Host38,f,Queens,Ridgewood,40.658437,-73.799365,Private room,31.58,1,8,2026-07-27,0.54,3,79,$0-75,False,39.0,Sometimes Available
1000039,Private room in Long Island City,500039,Host39,f,Queens,Long Island City,40.719327,-73.800846,Private room,177.05,2,3,2026-03-08,0.42,2,343,$150-250,False,180.0,Highly Available
1000040,Private room in Midtown,500040,Host40,f,Manhattan,Midtown,40.795373,-73.958085,Private room,210.98,5,19,2026-05-05,0.76,3,365,$150-250,False,122.0,Highly Available
1000041,Entire home/apt in Williamsburg,500041,Host41,t,Brooklyn,Williamsburg,40.685332,-73.962798,Entire home/apt,153.75,2,9,2026-07-16,0.28,1,0,$150-250,True,50.0,Rarely Available
1000042,Private room in Harlem,500042,Host42,t,Manhattan,Harlem,40.773859,-73.991705,Private room,353.34,1,1,2026-07-21,0.08,1,114,$250-400,True,45.0,Sometimes Available
1000043,Entire home/apt in Upper West Side,500043,Host43,f,Manhattan,Upper West Side,40.779563,-73.970287,Entire home/apt,128.22,2,29,2026-08-01,1.05,1,22,$75-150,False,34.0,Rarely Available
1000044,Entire home/apt in Crown Heights,500044,Host44,f,Brooklyn,Crown Heights,40.654605,-73.977182,Entire home/apt,197.29,1,3,2026-02-16,0.26,1,325,$150-250,False,200.0,Highly Available
1000045,Entire home/apt in Hell's Kitchen,500045,Host45,f,Manhattan,Hell's Kitchen,40.823487,-73.950709,Entire home/apt,183.23,7,22,2026-07-22,0.64,2,31,$150-250,False,44.0,Sometimes Available
1000046,Private room in Astoria,500046,Host46,f,Queens,Astoria,40.715658,-73.819177,Private room,28.01,3,7,2026-08-01,0.26,1,25,$0-75,False,34.0,Rarely Available
1000047,Entire home/apt in Crown Heights,500047,Host47,t,Brooklyn,Crown Heights,40.666465,-73.928892,Entire home/apt,112.02,1,18,2026-06-02,0.77,10,90,$75-150,True,94.0,Sometimes Available
1000048,Private room in Chelsea,500048,Host48,t,Manhattan,Chelsea,40.81294,-73.965681,Private room,163.32,7,5,2026-02-23,0.11,1,346,$150-250,True,193.0,Highly Available
1000049,Entire home/apt in Ridgewood,500049,Host49,t,Queens,Ridgewood,40.775798,-73.806088,Entire home/apt,117.99,2,15,2026-03-16,0.52,1,202,$75-150,True,172.0,Highly Available
1000050,Private room in Astoria,500050,Host50,f,Queens,Astoria,40.739586,-73.784054,Private room,51.9,30,5,2026-07-27,0.23,3,315,$0-75,False,39.0,Highly Available
1000051,Entire home/apt in Jamaica,500051,Host51,f,Queens,Jamaica,40.714472,-73.838607,Entire home/apt,159.98,2,11,2026-05-24,0.26,1,103,$150-250,False,103.0,Sometimes Available
1000052,Entire home/apt in Hell's Kitchen,500052,Host52,f,Manhattan,Hell's Kitchen,40.794323,-73.949193,Entire home/apt,81.01,2,1,2026-06-14,0.06,1,259,$75-150,False,82.0,Highly Available
1000053,Private room in Hell's Kitchen,500053,Host53,t,Manhattan,Hell's Kitchen,40.78558,-73.964327,Private room,225.02,1,9,2026-04-22,0.55,1,159,$150-250,True,135.0,Sometimes Available
1000054,Private room in Crown Heights,500054,Host54,f,Brooklyn,Crown Heights,40.704609,-73.904014,Private room,62.15,2,19,2026-07-31,0.72,1,0,$0-75,False,35.0,Rarely Available
1000055,Entire home/apt in Flushing,500055,Host55,f,Queens,Flushing,40.763643,-73.782195,Entire home/apt,43.13,14,4,2026-07-30,0.13,1,314,$0-75,False,36.0,Highly Available
1000056,Entire home/apt in Mott Haven,500056,Host56,t,Bronx,Mott Haven,40.887774,-73.875521,Entire home/apt,237.02,5,68,2025-03-17,1.52,1,297,$150-250,True,536.0,Highly Available
1000057,Private room in Williamsburg,500057,Host57,f,Brooklyn,Williamsburg,40.681227,-73.928491,Private room,130.67,1,13,2026-05-15,0.31,3,80,$75-150,False,112.0,Sometimes Available
1000058,Entire home/apt in Chelsea,500058,Host58,t,Manhattan,Chelsea,40.770622,-73.993131,Entire home/apt,261.26,14,11,2026-03-24,0.36,1,4,$250-400,True,164.0,Rarely Available
1000059,Entire home/apt in Financial District,500059,Host59,f,Manhattan,Financial District,40.782062,-73.94767,Entire home/apt,142.15,2,40,2026-06-06,1.93,1,27,$75-150,False,90.0,Rarely Available
1000060,Entire home/apt in Chelsea,500060,Host60,f,Manhattan,Chelsea,40.792664,-73.997531,Entire home/apt,40.94,3,4,2026-06-06,0.29,3,270,$0-75,False,90.0,Highly Available
1000061,Shared room in DUMBO,500061,Host61,f,Brooklyn,DUMBO,40.712333,-73.935181,Shared room,98.1,1,17,2025-11-12,0.55,1,0,$75-150,False,296.0,Rarely Available
1000062,Shared room in Flushing,500062,Host62,f,Queens,Flushing,40.738548,-73.788761,Shared room,20.0,3,33,2026-03-31,0.79,1,50,$0-75,False,157.0,Sometimes Available
1000063,Entire home/apt in Park Slope,500063,Host63,f,Brooklyn,Park Slope,40.667102,-73.936017,Entire home/apt,331.86,3,13,2025-08-11,0.45,1,0,$250-400,False,389.0,Rarely Available
1000064,Private room in Mott Haven,500064,Host64,t,Bronx,Mott Haven,40.837369,-73.879048,Private room,45.53,1,19,2025-12-28,0.58,1,298,$0-75,True,250.0,Highly Available
1000065,Private room in Hell's Kitchen,500065,Host65,f,Manhattan,Hell's Kitchen,40.767516,-73.983924,Private room,150.25,2,1,2026-07-19,0.04,1,294,$150-250,False,47.0,Highly Available
1000066,Private room in Chelsea,500066,Host66,t,Manhattan,Chelsea,40.76904,-73.967029,Private room,302.99,14,13,2026-07-11,0.59,1,261,$250-400,True,55.0,Highly Available
1000067,Entire home/apt in Bushwick,500067,Host67,f,Brooklyn,Bushwick,40.642904,-73.946478,Entire home/apt,158.56,5,23,2026-07-15,0.5,1,282,$150-250,False,51.0,Highly Available
1000068,Private room in Park Slope,500068,Host68,f,Brooklyn,Park Slope,40.665461,-73.907751,Private room,95.98,1,36,2026-05-11,3.44,1,77,$75-150,False,116.0,Sometimes Available
1000069,Entire home/apt in Chelsea,500069,Host69,f,Manhattan,Chelsea,40.801691,-73.957219,Entire home/apt,421.61,5,29,2026-02-12,1.04,1,84,$400+,False,204.0,Sometimes Available
1000070,Private room in Astoria,500070,Host70,f,Queens,Astoria,40.713341,-73.801229,Private room,133.23,3,1,2026-05-17,0.03,10,263,$75-150,False,110.0,Highly Available
1000071,Private room in Flushing,500071,Host71,f,Queens,Flushing,40.732443,-73.803575,Private room,120.92,1,44,2026-07-17,5.82,1,141,$75-150,False,49.0,Sometimes Available
1000072,Entire home/apt in DUMBO,500072,Host72,f,Brooklyn,DUMBO,40.683123,-73.944398,Entire home/apt,334.41,3,33,2026-05-29,1.19,1,184,$250-400,False,98.0,Highly Available
1000073,Private room in Financial District,500073,Host73,f,Manhattan,Financial District,40.758547,-73.955127,Private room,106.36,3,51,2026-05-28,1.08,2,305,$75-150,False,99.0,Highly Available
1000074,Entire home/apt in Midtown,500074,Host74,f,Manhattan,Midtown,40.787262,-74.001651,Entire home/apt,329.46,1,60,2026-07-17,7.6,1,231,$250-400,False,49.0,Highly Available
1000075,Shared room in St. George,500075,Host75,f,Staten Island,St. George,40.566245,-74.16162,Shared room,96.01,30,6,2026-05-07,0.13,1,76,$75-150,False,120.0,Sometimes Available
1000076,Shared room in Harlem,500076,Host76,f,Manhattan,Harlem,40.779393,-73.97106,Shared room,102.06,1,18,2026-05-07,0.58,1,205,$75-150,False,120.0,Highly Available
1000077,Entire home/apt in Mott Haven,500077,Host77,t,Bronx,Mott Haven,40.84787,-73.864328,Entire home/apt,112.41,3,2,2025-11-11,0.05,1,0,$75-150,True,297.0,Rarely Available
1000078,Entire home/apt in Park Slope,500078,Host78,t,Brooklyn,Park Slope,40.69615,-73.943282,Entire home/apt,157.66,14,2,2025-11-17,0.05,10,161,$150-250,True,291.0,Sometimes Available
1000079,Private room in Bushwick,500079,Host79,f,Brooklyn,Bushwick,40.659435,-73.932113,Private room,118.33,7,7,2026-06-30,0.56,1,220,$75-150,False,66.0,Highly Available
1000080,Private room in Fordham,500080,Host80,t,Bronx,Fordham,40.840822,-73.885071,Private room,44.66,1,42,2026-06-22,1.03,1,58,$0-75,True,74.0,Sometimes Available
1000081,Entire home/apt in DUMBO,500081,Host81,f,Brooklyn,DUMBO,40.688373,-73.956494,Entire home/apt,144.68,2,45,2026-01-27,2.0,1,76,$75-150,False,220.0,Sometimes Available
1000082,Private room in Fordham,500082,Host82,f,Bronx,Fordham,40.802898,-73.858342,Private room,48.14,1,47,2026-03-29,0.99,1,353,$0-75,False,159.0,Highly Available
1000083,Entire home/apt in Harlem,500083,Host83,f,Manhattan,Harlem,40.788973,-73.951254,Entire home/apt,540.22,2,7,2026-07-11,0.15,1,142,$400+,False,55.0,Sometimes Available
1000084,Private room in Upper West Side,500084,Host84,f,Manhattan,Upper West Side,40.769126,-73.940016,Private room,108.39,14,0,,0.0,1,110,$75-150,False,,Sometimes Available
1000085,Private room in Upper West Side,500085,Host85,f,Manhattan,Upper West Side,40.782855,-73.961865,Private room,94.98,3,11,2026-07-08,0.26,1,76,$75-150,False,58.0,Sometimes Available
1000086,Private room in Long Island City,500086,Host86,t,Queens,Long Island City,40.714472,-73.757981,Private room,41.18,14,23,2026-07-16,0.58,1,185,$0-75,True,50.0,Highly Available
1000087,Entire home/apt in Harlem,500087,Host87,f,Manhattan,Harlem,40.800303,-73.956158,Entire home/apt,119.27,2,103,2026-06-02,8.39,1,277,$75-150,False,94.0,Highly Available
1000088,Entire home/apt in St. George,500088,Host88,f,Staten Island,St. George,40.561474,-74.150247,Entire home/apt,65.12,30,3,2026-04-25,0.11,1,144,$0-75,False,132.0,Sometimes Available
1000089,Private room in Williamsburg,500089,Host89,f,Brooklyn,Williamsburg,40.712034,-73.916337,Private room,42.06,1,29,2025-08-03,0.72,1,28,$0-75,False,397.0,Rarely Available
1000090,Private room in Williamsburg,500090,Host90,f,Brooklyn,Williamsburg,40.719505,-73.957784,Private room,117.4,1,42,2026-01-10,4.48,3,224,$75-150,False,237.0,Highly Available
1000091,Entire home/apt in Bushwick,500091,Host91,f,Brooklyn,Bushwick,40.66674,-73.945637,Entire home/apt,246.58,2,23,2025-11-28,1.16,1,322,$150-250,False,280.0,Highly Available
1000092,Private room in Midtown,500092,Host92,f,Manhattan,Midtown,40.794658,-73.953537,Private room,143.99,3,1,2025-12-01,0.14,1,163,$75-150,False,277.0,Sometimes Available
1000093,Private room in Bedford-Stuyvesant,500093,Host93,f,Brooklyn,Bedford-Stuyvesant,40.689996,-73.921329,Private room,97.69,2,22,2026-04-14,3.04,1,323,$75-150,False,143.0,Highly Available
1000094,Private room in Tottenville,500094,Host94,t,Staten Island,Tottenville,40.578489,-74.127545,Private room,79.54,5,3,2026-06-30,0.08,3,12,$75-150,True,66.0,Rarely Available
1000095,Entire home/apt in East Village,500095,Host95,f,Manhattan,East Village,40.810335,-73.940248,Entire home/apt,535.08,1,26,2026-07-31,1.36,1,348,$400+,False,35.0,Highly Available
1000096,Entire home/apt in DUMBO,500096,Host96,f,Brooklyn,DUMBO,40.694942,-73.91955,Entire home/apt,186.02,7,14,2026-07-11,0.85,1,8,$150-250,False,55.0,Rarely Available
1000097,Private room in Williamsburg,500097,Host97,t,Brooklyn,Williamsburg,40.653253,-73.931415,Private room,162.43,2,0,,0.0,10,132,$150-250,True,,Sometimes Available
1000098,Entire home/apt in Chelsea,500098,Host98,f,Manhattan,Chelsea,40.79596,-74.028925,Entire home/apt,189.54,30,83,2025-12-02,13.37,5,151,$150-250,False,276.0,Sometimes Available
1000099,Private room in Bedford-Stuyvesant,500099,Host99,f,Brooklyn,Bedford-Stuyvesant,40.676967,-73.940068,Private room,63.92,5,4,2026-03-24,0.25,5,205,$0-75,False,164.0,Highly Available
1000100,Private room in Upper West Side,500100,Host100,f,Manhattan,Upper West Side,40.760567,-73.965067,Private room,156.52,14,29,2026-06-02,0.84,1,265,$150-250,False,94.0,Highly Available
1000101,Private room in Bushwick,500101,Host101,f,Brooklyn,Bushwick,40.67577,-73.928644,Private room,142.48,5,2,2026-02-09,0.11,1,106,$75-150,False,207.0,Sometimes Available
1000102,Private room in Fordham,500102,Host102,f,Bronx,Fordham,40.86889,-73.902939,Private room,100.14,2,0,,0.0,1,121,$75-150,False,,Sometimes Available
1000103,Private room in Williamsburg,500103,Host103,f,Brooklyn,Williamsburg,40.645387,-73.940581,Private room,23.56,3,4,2026-04-30,0.12,2,344,$0-75,False,127.0,Highly Available
1000104,Private room in Park Slope,500104,Host104,f,Brooklyn,Park Slope,40.674222,-73.932939,Private room,129.35,1,5,2026-06-29,0.79,1,243,$75-150,False,67.0,Highly Available
1000105,Private room in Financial District,500105,Host105,f,Manhattan,Financial District,40.777829,-73.944712,Private room,352.53,2,21,2025-05-07,2.15,1,180,$250-400,False,485.0,Sometimes Available
1000106,Entire home/apt in East Village,500106,Host106,f,Manhattan,East Village,40.778504,-73.979588,Entire home/apt,553.4843000000001,3,7,2026-04-28,0.15,1,174,$400+,False,129.0,Sometimes Available
1000107,Private room in St. George,500107,Host107,f,Staten Island,St. George,40.561855,-74.172166,Private room,183.24,3,4,2026-04-26,0.19,3,195,$150-250,False,131.0,Highly Available
1000108,Entire home/apt in Jamaica,500108,Host108,f,Queens,Jamaica,40.752492,-73.761532,Entire home/apt,90.17,2,22,2026-07-03,1.68,1,180,$75-150,False,63.0,Sometimes Available
1000109,Entire home/apt in Bushwick,500109,Host109,f,Brooklyn,Bushwick,40.685799,-73.919919,Entire home/apt,132.39,1,22,2026-02-28,0.64,1,167,$75-150,False,188.0,Sometimes Available
1000110,Private room in DUMBO,500110,Host110,f,Brooklyn,DUMBO,40.667582,-73.939891,Private room,142.95,2,11,2025-12-31,0.54,1,5,$75-150,False,247.0,Rarely Available
1000111,Private room in Crown Heights,500111,Host111,f,Brooklyn,Crown Heights,40.695369,-73.979921,Private room,51.03,1,1,2026-05-23,0.05,1,230,$0-75,False,104.0,Highly Available
1000112,Entire home/apt in Financial District,500112,Host112,f,Manhattan,Financial District,40.754154,-73.977328,Entire home/apt,148.58,1,14,2026-01-23,0.37,1,219,$75-150,False,224.0,Highly Available
1000113,Private room in Tottenville,500113,Host113,f,Staten Island,Tottenville,40.565359,-74.17449,Private room,89.03,1,38,2026-07-12,0.9,1,22,$75-150,False,54.0,Rarely Available
1000114,Private room in Bushwick,500114,Host114,f,Brooklyn,Bushwick,40.670303,-73.934721,Private room,30.31,2,22,2024-12-28,0.8,3,205,$0-75,False,615.0,Highly Available
1000115,Private room in Riverdale,500115,Host115,f,Bronx,Riverdale,40.828318,-73.896876,Private room,108.32,5,3,2026-07-30,0.2,2,269,$75-150,False,36.0,Highly Available
1000116,Private room in Tottenville,500116,Host116,t,Staten Island,Tottenville,40.557698,-74.157104,Private room,54.07,14,16,2026-05-10,0.51,2,171,$0-75,True,117.0,Sometimes Available
1000117,Entire home/apt in Greenpoint,500117,Host117,f,Brooklyn,Greenpoint,40.708615,-73.919625,Entire home/apt,230.46,1,17,2026-07-03,0.7,1,155,$150-250,False,63.0,Sometimes Available
1000118,Private room in Chelsea,500118,Host118,t,Manhattan,Chelsea,40.761817,-73.953911,Private room,103.62,5,24,2026-07-23,1.3,1,83,$75-150,True,43.0,Sometimes Available
1000119,Private room in East Village,500119,Host119,f,Manhattan,East Village,40.810291,-73.992188,Private room,66.52,1,4,2026-01-25,0.12,2,218,$0-75,False,222.0,Highly Available
1000120,Entire home/apt in Park Slope,500120,Host120,f,Brooklyn,Park Slope,40.680177,-73.966373,Entire home/apt,234.21,1,13,2026-02-11,0.5,1,233,$150-250,False,205.0,Highly Available
1000121,Private room in Financial District,500121,Host121,f,Manhattan,Financial District,40.768208,-73.959923,Private room,70.15,1,11,2026-06-25,0.64,1,206,$0-75,False,71.0,Highly Available
1000122,Entire home/apt in Park Slope,500122,Host122,f,Brooklyn,Park Slope,40.691559,-73.953758,Entire home/apt,108.89,7,77,2026-05-24,1.97,1,0,$75-150,False,103.0,Rarely Available
1000123,Private room in East Village,500123,Host123,f,Manhattan,East Village,40.775398,-73.965816,Private room,139.82,2,6,2026-07-19,0.14,1,294,$75-150,False,47.0,Highly Available
1000124,Private room in Harlem,500124,Host124,f,Manhattan,Harlem,40.754467,-74.006573,Private room,238.06,1,17,2025-06-04,0.76,1,213,$150-250,False,457.0,Highly Available
1000125,Private room in Crown Heights,500125,Host125,f,Brooklyn,Crown Heights,40.666333,-73.943228,Private room,155.5,2,5,2026-03-31,0.45,1,66,$150-250,False,157.0,Sometimes Available
1000126,Entire home/apt in St. George,500126,Host126,t,Staten Island,St. George,40.562419,-74.146966,Entire home/apt,63.36,14,18,2026-07-18,0.56,1,142,$0-75,True,48.0,Sometimes Available
1000127,Entire home/apt in Crown Heights,500127,Host127,f,Brooklyn,Crown Heights,40.674658,-73.938348,Entire home/apt,238.48,1,5,2026-01-10,0.12,1,166,$150-250,False,237.0,Sometimes Available
1000128,Shared room in Ridgewood,500128,Host128,f,Queens,Ridgewood,40.73445,-73.807647,Shared room,48.7,1,9,2026-02-26,0.24,1,325,$0-75,False,190.0,Highly Available
1000129,Entire home/apt in Upper West Side,500129,Host129,f,Manhattan,Upper West Side,40.782573,-73.952995,Entire home/apt,470.87,2,22,2026-03-14,0.8,1,152,$400+,False,174.0,Sometimes Available
1000130,Private room in Long Island City,500130,Host130,f,Queens,Long Island City,40.736662,-73.770259,Private room,94.94,1,5,2026-02-20,0.12,1,234,$75-150,False,196.0,Highly Available
1000131,Private room in Ridgewood,500131,Host131,f,Queens,Ridgewood,40.750527,-73.778319,Private room,124.53,7,0,,0.0,1,159,$75-150,False,,Sometimes Available
1000132,Hotel room in Flushing,500132,Host132,f,Queens,Flushing,40.697487,-73.768748,Hotel room,101.81,7,22,2026-08-01,0.98,1,0,$75-150,False,34.0,Rarely Available
1000133,Entire home/apt in Jamaica,500133,Host133,f,Queens,Jamaica,40.721873,-73.792688,Entire home/apt,133.08,1,6,2026-04-14,0.17,1,268,$75-150,False,143.0,Highly Available
1000134,Entire home/apt in DUMBO,500134,Host134,t,Brooklyn,DUMBO,40.661135,-73.946705,Entire home/apt,163.33,5,38,2026-06-15,1.37,1,100,$150-250,True,81.0,Sometimes Available
1000135,Private room in Chelsea,500135,Host135,f,Manhattan,Chelsea,40.793002,-73.953486,Private room,206.18,1,25,2025-01-12,0.93,1,247,$150-250,False,600.0,Highly Available
1000136,Entire home/apt in St. George,500136,Host136,f,Staten Island,St. George,40.569679,-74.182894,Entire home/apt,48.61,1,44,2025-08-28,2.52,1,20,$0-75,False,372.0,Rarely Available
1000137,Entire home/apt in Fordham,500137,Host137,t,Bronx,Fordham,40.839919,-73.891485,Entire home/apt,64.61,3,1,2026-07-02,0.02,1,160,$0-75,True,64.0,Sometimes Available
1000138,Shared room in Fordham,500138,Host138,f,Bronx,Fordham,40.832578,-73.856146,Shared room,20.0,1,8,2026-02-12,0.47,1,189,$0-75,False,204.0,Highly Available
1000139,Private room in Financial District,500139,Host139,f,Manhattan,Financial District,40.761437,-73.992262,Private room,122.11,3,20,2026-02-24,0.97,1,267,$75-150,False,192.0,Highly Available
1000140,Entire home/apt in Fordham,500140,Host140,f,Bronx,Fordham,40.811914,-73.8844,Entire home/apt,108.77,1,32,2026-05-19,0.68,1,237,$75-150,False,108.0,Highly Available
1000141,Entire home/apt in Williamsburg,500141,Host141,f,Brooklyn,Williamsburg,40.678703,-73.939214,Entire home/apt,213.23,2,2,2026-04-30,0.06,1,191,$150-250,False,127.0,Highly Available
1000142,Entire home/apt in Crown Heights,500142,Host142,f,Brooklyn,Crown Heights,40.7182,-73.943584,Entire home/apt,348.13,1,72,2026-04-29,1.73,1,100,$250-400,False,128.0,Sometimes Available
1000143,Shared room in Long Island City,500143,Host143,t,Queens,Long Island City,40.733494,-73.813481,Shared room,26.86,2,10,2026-07-16,0.23,2,324,$0-75,True,50.0,Highly Available
1000144,Entire home/apt in Financial District,500144,Host144,f,Manhattan,Financial District,40.761283,-73.990469,Entire home/apt,330.24,5,0,,0.0,3,143,$250-400,False,,Sometimes Available
1000145,Entire home/apt in Williamsburg,500145,Host145,f,Brooklyn,Williamsburg,40.663411,-73.966835,Entire home/apt,178.25,2,5,2026-06-18,0.36,2,121,$150-250,False,78.0,Sometimes Available
